AG-DEPARTMENT OF AGRICULTURE,63967.40667
AH-NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,119776
AM-U.S. AGENCY FOR INTERNATIONAL DEVELOPMENT,125631.625
BG-PENSION BENEFIT GUARANTY CORPORATION,129758.6667
BO-OFFICE OF MANAGEMENT AND BUDGET,148609.99
CM-DEPARTMENT OF COMMERCE,91676.2
CT-COMMODITY FUTURES TRADING COMMISSION,128565
CU-NATIONAL CREDIT UNION ADMINISTRATION,140537.8
CX-NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE,118437.25
DB-PUBLIC INTEREST DECLASSIFICATION BOARD,121956.45
DJ-DEPARTMENT OF JUSTICE,92838.97838
DL-DEPARTMENT OF LABOR,95646.18519
ED-DEPARTMENT OF EDUCATION,114927.5
EE-EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,45995
EO-MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,64862
EP-ENVIRONMENTAL PROTECTION AGENCY,118152.1955
EQ-COUNCIL ON ENVIRONMENTAL QUALITY/OFFICE OF ENVIRONMENTAL QUALITY,55000
FC-FEDERAL COMMUNICATIONS COMMISSION,133584.6667
FD-FEDERAL DEPOSIT INSURANCE CORPORATION,152165.4
FL-FARM CREDIT ADMINISTRATION,66495
FT-FEDERAL TRADE COMMISSION,133902.5
GS-GENERAL SERVICES ADMINISTRATION,101637.6667
GW-INTERNATIONAL BOUNDARY AND WATER COMMISSION:  UNITED STATES AND MEXICO,82848
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,106350.5908
HS-DEPARTMENT OF HOMELAND SECURITY,78830.49769
HU-DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,102945.625
IB-BROADCASTING BOARD OF GOVERNORS,108887
IN-DEPARTMENT OF THE INTERIOR,75623.3676
KS-CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,79264
NF-NATIONAL SCIENCE FOUNDATION,120826
NL-NATIONAL LABOR RELATIONS BOARD,123284.3333
NN-NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,122579.7
NQ-NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,68553.33333
NU-NUCLEAR REGULATORY COMMISSION,117667
OM-OFFICE OF PERSONNEL MANAGEMENT,98178.42857
PU-PEACE CORPS,125532.5
SB-SMALL BUSINESS ADMINISTRATION,108789
SE-SECURITIES AND EXCHANGE COMMISSION,202397.75
SK-CONSUMER PRODUCT SAFETY COMMISSION,101067
SM-SMITHSONIAN INSTITUTION,86332.66667
ST-DEPARTMENT OF STATE,84425.5913
SZ-SOCIAL SECURITY ADMINISTRATION,85668.41667
TB-NATIONAL TRANSPORTATION SAFETY BOARD,134296
TD-DEPARTMENT OF TRANSPORTATION,113502.5032
TR-DEPARTMENT OF THE TREASURY,85631.15337
VA-DEPARTMENT OF VETERANS AFFAIRS,76235.27506
VD-PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD,149432
